"205","47","40","2500","18","45000"
"206","48","103","720","13","9360"
"207","48","108","50","600","30000"
"208","48","35","1.5","6000","9000"
"209","48","109","240","30","7200"
"210","48","33","78","30","2340"
"211","48","124","9","150","1350"
"212","48","62","21","116","2436"
"213","48","110","48","6","288"
"214","48","18","6","1967","11802"
"215","48","107","88","389","34232"
"216","48","96","1","15000","15000"
"217","49","120","500","99","49500"
"218","49","103","500","13","6500"
"219","49","33","40","30","1200"
"220","49","106","0.3","10000","3000"
"221","49","109","50","30","1500"
"222","49","124","3","150","450"
"223","49","23","1400","15","21000"
"224","49","64","800","8","6400"
"225","49","37","80","42","3360"
"226","49","76","50","12","600"
"227","49","110","38","6","228"
"228","49","20","160","24","3840"
"229","49","60","11","84","924"
"230","49","62","13","116","1508"
"231","49","121","1080","1","1080"
"232","49","18","6","1967","11802"
"233","49","84","25","20","500"
"234","49","40","750","18","13500"
"235","50","101","10","2470","24700"
"236","50","115","500","29","14500"
"237","50","121","900","1","900"
"238","50","18","8","1967","15736"
"239","50","33","20","30","600"
"240","50","32","60","30","1800"
"241","50","120","200","99","19800"
"242","50","109","240","30","7200"
"243","50","122","2","20000","40000"
"244","50","48","50","100","5000"
"245","51","31","900","30","27000"
"246","51","45","360","54","19440"
"247","51","33","60","30","1800"
"248","51","29","31","120","3720"
"249","51","110","15","6","90"
"250","51","60","3","84","252"
"251","51","88","30","259","7770"
"252","51","37","90","42","3780"
"253","51","90","140","13","1820"
"254","51","39","750","60","45000"
"255","52","103","1200","13","15600"
"256","52","31","150","30","4500"
"257","52","33","45","30","1350"
"258","52","106","0.5","10000","5000"
"259","52","39","1050","60","63000"
"260","52","18","4","1967","7868"
"261","52","124","8","150","1200"
"262","52","76","36","12","432"
"263","52","88","40","259","10360"
"264","52","62","9","116","1044"
"265","52","110","18","6","108"
"266","52","121","500","1","500"
"267","52","23","500","15","7500"
"268","52","149","250","91","22750"
"269","52","40","500","18","9000"
"270","53","104","4400","23","101200"
"271","53","39","1200","60","72000"
"272","53","18","16","1967","31472"
"273","53","96","0.5","15000","7500"
"274","53","32","200","30","6000"
"275","53","33","80","30","2400"
"276","53","111","12","38","456"
"277","53","76","124","12","1488"
"278","53","62","48","116","5568"
"279","53","110","44","6","264"
"280","53","88","200","259","51800"
"281","53","124","6","150","900"
"282","53","121","200","1","200"
"283","53","102","100","720","72000"
"284","53","125","415","21","8715"
"285","54","150","2000","19","38000"
"286","54","91","1.5","9200","13800"
"287","54","32","60","30","1800"
"288","54","33","105","30","3150"
"289","54","48","15","100","1500"
"290","54","47","90","62","5580"
"291","54","110","20","6","120"
